County,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sandusky,57225,57704,58611,59456,60301,61075,61831,62430,62586,62314,60983,61000,62700,63400,62900,63900,63500,63800,64000,63700,63267,62943,62180,61977,62367,61983,62035,62066,62222,62101,61963,62452,62590,62506,62589,62788,62666,62386,62102,61777,61792,61788,61918,61784,61930,61865,61745,61571,61184,61039,60944
Scioto,84216,84223,84120,83746,83419,82930,82344,83018,83329,83057,76951,77700,79900,79500,80000,81200,84900,84500,83900,84500,84545,83466,84297,84677,83599,82518,81752,81480,80880,80392,80327,80083,80731,80406,80619,80644,80539,80608,80133,79640,79195,78784,78652,78278,77788,77926,78285,78775,79133,79241,79499
Seneca,59326,60025,60570,61081,61562,61902,62211,62503,62681,62388,60696,60800,61600,62600,62500,62200,61900,62200,62600,62700,61901,61995,61093,61060,60762,60766,60328,60521,60034,59955,59733,59570,59547,59726,59853,59665,59621,59524,59250,58957,58683,58376,58090,58006,57857,57664,57406,57289,57199,56897,56745
Shelby,33586,34239,34704,35123,35652,36098,36537,37003,37603,37779,37748,37600,38700,40100,41000,41700,41500,42100,42800,43100,43089,43494,43275,43039,43301,43574,43770,43982,44015,44565,44915,45604,45853,46259,46479,46851,46863,47211,47450,47750,47910,48662,48671,48766,48791,49044,49099,49284,49454,49540,49423
Stark,340345,347360,352244,357064,361483,365486,369378,370456,370824,369215,372210,374800,372100,381500,382300,378100,375900,376100,378400,377300,378823,377725,375915,373763,373093,370383,367339,365779,367442,368082,367585,370147,372374,374782,376067,377034,377791,377765,377552,378220,378098,377295,376867,376721,376663,376050,376180,376877,377141,376210,375586
Summit,513569,526392,536201,545268,554120,562476,569476,569817,570085,569513,553371,550400,547500,544900,537700,540100,534200,528800,524000,526100,524472,521402,518036,515636,513742,510525,507992,508563,511698,513371,514990,520497,524194,528385,531568,534251,537972,539502,540647,541737,542899,544554,544866,545163,545037,545029,544660,544275,543116,542135,541781
Trumbull,208526,214811,219562,224034,228406,232429,236343,237215,237595,236214,232579,235300,247000,237200,240300,243900,239900,241900,245200,241300,241863,240531,239152,236942,235007,233564,230943,228929,228936,228426,227795,228779,229463,229685,229851,229158,228902,228165,227247,226084,225116,223991,222484,220889,219540,217926,216185,214296,212191,211290,210312
Tuscarawas,76789,77531,78028,78386,78753,79037,79244,79364,79645,79701,77211,78400,78800,80300,80800,81900,82600,83000,83300,84000,84614,84760,84820,84738,84796,84347,83635,83446,83912,84241,84090,85051,85796,86370,87293,88318,88994,89534,90172,90501,90914,91319,91735,92015,92348,92286,92271,92511,92634,92584,92582
Union,22853,23096,23321,23506,23643,23787,23933,24034,24204,24297,23786,25200,25000,25900,28200,27600,28300,31100,29400,29400,29536,29627,29914,29837,29918,30291,30625,30995,31565,31908,31969,32625,33472,34192,35089,36308,37276,38360,39320,40154,40909,42859,43517,44665,45819,46952,48589,49906,50856,51798,52300
Van Wert,28840,28975,29058,29092,29129,29106,29042,29143,29121,29147,29194,29100,30000,30300,29700,29700,29600,30300,30500,30400,30458,30542,30217,30170,30291,30332,30258,30457,30682,30713,30464,30322,30222,30231,30288,30252,30173,30206,29864,29825,29659,29430,29327,29288,29322,29264,29342,29182,29075,28849,28744
