County,Year,Population
Paulding,1973,20200
Perry,1973,30100
Pickaway,1973,43100
Pike,1973,20300
Portage,1973,131300
Preble,1973,35700
Putnam,1973,32600
Richland,1973,130900
Ross,1973,61900
Sandusky,1973,63400
Scioto,1973,79500
Seneca,1973,62600
Shelby,1973,40100
Stark,1973,381500
Summit,1973,544900
Trumbull,1973,237200
Tuscarawas,1973,80300
Union,1973,25900
Van Wert,1973,30300
Vinton,1973,10300
Warren,1973,88100
Washington,1973,59300
Wayne,1973,90700
Williams,1973,35000
Wood,1973,97500
Wyandot,1973,22800
Ohio,1974,10766000
Adams,1974,22500
Allen,1974,110600
Ashland,1974,44200
Ashtabula,1974,101100
Athens,1974,54000
Auglaize,1974,40900
Belmont,1974,82300
Brown,1974,29500
Butler,1974,239000
Carroll,1974,24000
Champaign,1974,32300
Clark,1974,155800
Clermont,1974,104700
Clinton,1974,32900
Columbiana,1974,111700
Coshocton,1974,35100
Crawford,1974,51400
Cuyahoga,1974,1617100
Darke,1974,53900
Defiance,1974,37800
Delaware,1974,49600
Erie,1974,78100
Fairfield,1974,81800
Fayette,1974,26700
Franklin,1974,864400
Fulton,1974,36000
Gallia,1974,27200
Geauga,1974,66100
Greene,1974,125900
Guernsey,1974,40400
Hamilton,1974,905200
